countyFIPS,state,perc_lowedu
1000,AL,13.81930160522461
1001,AL,11.483394622802734
1003,AL,9.193842887878418
1005,AL,26.786907196044922
1007,AL,20.942602157592773
1009,AL,19.509437561035156
1011,AL,25.320377349853516
1013,AL,14.950430870056152
1015,AL,15.567325592041016
1017,AL,18.37824249267578
1019,AL,18.427465438842773
1021,AL,18.218730926513672
1023,AL,18.61935806274414
1025,AL,19.43351173400879
1027,AL,23.311132431030273
1029,AL,20.971281051635742
1031,AL,14.073612213134766
1033,AL,14.843810081481934
1035,AL,15.668516159057617
1037,AL,20.002422332763672
1039,AL,16.58562469482422
1041,AL,20.80495262145996
1043,AL,18.44576072692871
1045,AL,13.879853248596191
1047,AL,18.1564884185791
1049,AL,25.155241012573242
1051,AL,13.37600040435791
1053,AL,18.86383819580078
1055,AL,15.447300910949707
1057,AL,17.40133285522461
1059,AL,22.798999786376953
1061,AL,19.678457260131836
1063,AL,20.78370475769043
1065,AL,15.996371269226074
1067,AL,20.619657516479492
1069,AL,13.95587158203125
1071,AL,16.80586051940918
1073,AL,9.935452461242676
1075,AL,17.657821655273438
1077,AL,12.618306159973145
1079,AL,20.69571876525879
1081,AL,9.117510795593262
1083,AL,15.313457489013672
1085,AL,21.651090621948242
1087,AL,18.199949264526367
1089,AL,8.29916000366211
1091,AL,16.177818298339844
1093,AL,20.425912857055664
1095,AL,18.38949203491211
1097,AL,13.533306121826172
1099,AL,14.35657024383545
1101,AL,13.268247604370117
1103,AL,15.927884101867676
1105,AL,17.16811180114746
1107,AL,18.489133834838867
1109,AL,15.032646179199219
1111,AL,20.366378784179688
1113,AL,16.17934226989746
1115,AL,15.446730613708496
1117,AL,7.328763008117676
1119,AL,13.303659439086914
1121,AL,19.670316696166992
1123,AL,19.34628677368164
1125,AL,11.650755882263184
1127,AL,18.17917823791504
1129,AL,17.371761322021484
1131,AL,23.545122146606445
1133,AL,21.187923431396484
2000,AK,7.1529340744018555
2010,AK,
2013,AK,14.525994300842285
2016,AK,10.54034423828125
2020,AK,6.098400115966797
2050,AK,19.089889526367188
2060,AK,5.984251976013184
2068,AK,1.536570429801941
2070,AK,13.678756713867188
2090,AK,5.507227420806885
2100,AK,2.4864864349365234
2105,AK,6.253653049468994
2110,AK,3.625725746154785
2122,AK,7.323313236236572
2130,AK,7.228790760040283
2150,AK,10.2081937789917
2158,AK,21.122194290161133
2160,AK,
2164,AK,11.98257064819336
2170,AK,7.051301002502441
2180,AK,15.434782981872559
2185,AK,10.269023895263672
2188,AK,17.46257972717285
2195,AK,10.34168529510498
2198,AK,9.199012756347656
2201,AK,
2220,AK,5.287992000579834
2230,AK,5.305651664733887
2231,AK,
2232,AK,
2240,AK,10.137228965759277
2250,AK,
2261,AK,4.629629611968994
2275,AK,13.454545021057129
2280,AK,
2282,AK,8.823529243469238
2290,AK,14.032539367675781
4000,AZ,12.860705375671387
4001,AZ,19.597766876220703
4003,AZ,12.61652946472168
4005,AZ,9.480019569396973
4007,AZ,13.674039840698242
4009,AZ,14.74310302734375
4011,AZ,11.940553665161133
4012,AZ,23.06110954284668
4013,AZ,12.274147987365723
4015,AZ,13.932609558105469
4017,AZ,16.618221282958984
4019,AZ,11.615518569946289
4021,AZ,14.23302936553955
4023,AZ,23.401132583618164
4025,AZ,8.95071792602539
4027,AZ,26.746959686279297
5000,AR,13.430242538452148
5001,AR,16.091121673583984
5003,AR,16.714969635009766
5005,AR,11.269865989685059
5007,AR,11.418171882629395
5009,AR,12.589000701904297
5011,AR,18.962766647338867
5013,AR,15.765401840209961
5015,AR,13.721539497375488
5017,AR,19.231287002563477
5019,AR,10.044795036315918
5021,AR,17.529691696166992
5023,AR,14.053388595581055
5025,AR,10.422881126403809
5027,AR,14.1259126663208
5029,AR,12.950434684753418
5031,AR,10.675134658813477
5033,AR,15.020352363586426
5035,AR,17.38947868347168
5037,AR,16.355424880981445
5039,AR,16.05442237854004
5041,AR,18.93687629699707
5043,AR,13.086356163024902
5045,AR,8.166707992553711
5047,AR,16.276941299438477
5049,AR,14.405152320861816
5051,AR,10.884743690490723
5053,AR,9.198113441467285
5055,AR,11.757664680480957
5057,AR,17.38432502746582
5059,AR,14.16869068145752
5061,AR,14.770526885986328
5063,AR,13.979778289794922
5065,AR,16.213830947875977
5067,AR,19.832881927490234
5069,AR,13.855960845947266
5071,AR,21.112449645996094
5073,AR,20.293697357177734
5075,AR,15.869623184204102
5077,AR,24.1634578704834
