countyFIPS,countyname,state,total_pop,perc_male,perc_85more,perc_65more,perc_65more_m,perc_65more_f
1001,Autauga County,Alabama,55200,0.48684782608695654,0.014764492753623189,0.14583333333333334,0.06318840579710144,0.08264492753623189
1003,Baldwin County,Alabama,208107,0.486230640968348,0.018975815325769918,0.19540428721763323,0.09067450878634549,0.10472977843128775
1005,Barbour County,Alabama,25782,0.5312621208595144,0.0163680086882321,0.1797378015669847,0.07772864789387945,0.10200915367310527
1007,Bibb County,Alabama,22527,0.5394415590180672,0.01895503173969015,0.16251609180094997,0.07249078883118036,0.09002530296976961
1009,Blount County,Alabama,57645,0.49326047358834246,0.015022985514788794,0.1775175644028103,0.0787579148234886,0.0987596495793217
1011,Bullock County,Alabama,10352,0.5470440494590417,0.016904945904173106,0.1561051004636785,0.0661707882534776,0.08993431221020093
1013,Butler County,Alabama,20025,0.4678152309612984,0.027815230961298378,0.19006242197253434,0.07765293383270912,0.11240948813982522
1015,Calhoun County,Alabama,115098,0.480590453352795,0.01781090896453457,0.16843038106656935,0.07144346556847209,0.09698691549809728
1017,Chambers County,Alabama,33826,0.4806066339502158,0.0207532667179093,0.1894696387394312,0.08014545024537338,0.10932418849405783
1019,Cherokee County,Alabama,25853,0.4958805554481105,0.01852783042586934,0.21742157583259197,0.10099408192472827,0.1164274939078637
1021,Chilton County,Alabama,43930,0.4933302982016845,0.013703619394491237,0.15768267698611427,0.0718415661279308,0.08584111085818347
1023,Choctaw County,Alabama,13075,0.47824091778202676,0.022562141491395793,0.2205736137667304,0.09667304015296367,0.12390057361376673
1025,Clarke County,Alabama,24387,0.47316193053676137,0.019067535982285645,0.18969122893344814,0.08356911469225407,0.10612211424119408
1027,Clay County,Alabama,13378,0.48318134250261624,0.01861264763043803,0.19823590970249663,0.08999850500822246,0.10823740469427418
1029,Cleburne County,Alabama,14938,0.4874146472084616,0.027580666755924486,0.18764225465256393,0.08341143392689784,0.10423082072566608
1031,Coffee County,Alabama,51288,0.4935657463734207,0.01766495086569958,0.16329355794727812,0.07169318359070348,0.09160037435657464
1033,Colbert County,Alabama,54495,0.47848426461143223,0.022313973759060465,0.19271492797504358,0.08259473346178549,0.1101201945132581
1035,Conecuh County,Alabama,12514,0.4824196899472591,0.02493207607479623,0.21631772414895317,0.09805018379415055,0.11826754035480262
1037,Coosa County,Alabama,10855,0.5067710732381391,0.018516812528788576,0.21814831874712115,0.10105941962229388,0.11708889912482727
1039,Covington County,Alabama,37351,0.48651977189365747,0.023078364702417607,0.20481379347273165,0.08864555165859013,0.11616824181414152
1041,Crenshaw County,Alabama,13865,0.49145329967544177,0.022430580598629644,0.18333934367111432,0.07912008654886404,0.10421925712225028
1043,Cullman County,Alabama,82313,0.49275327105074535,0.013375772964173338,0.17983793568452128,0.07970794406715828,0.100129991617363
1045,Dale County,Alabama,49255,0.4920109633539742,0.017541366358745304,0.16118160592833214,0.07026697797177951,0.09091462795655264
1047,Dallas County,Alabama,40029,0.4608658722426241,0.013240400709485622,0.1675035599190587,0.07077368907542032,0.09672987084363836
1049,DeKalb County,Alabama,71200,0.4958426966292135,0.014592696629213484,0.16318820224719102,0.07275280898876405,0.09043539325842696
1051,Elmore County,Alabama,81212,0.4857656503964931,0.014049647835295276,0.14492932079003104,0.0661601733733931,0.07876914741663793
1053,Escambia County,Alabama,37328,0.5107961851693099,0.017627518216888127,0.17348906986712387,0.07466245177882555,0.09882661808829833
1055,Etowah County,Alabama,102939,0.4823341979230418,0.018865541728596547,0.18338044861519928,0.07854166059510972,0.10483878802008957
1057,Fayette County,Alabama,16585,0.49261380765752183,0.022188724751281277,0.20452215857702744,0.08911667169128731,0.11540548688574012
1059,Franklin County,Alabama,31542,0.4946420645488555,0.01791262443725826,0.1616891763363135,0.0702555323061315,0.09143364403018198
1061,Geneva County,Alabama,26491,0.4896379902608433,0.01657166584877883,0.19448114453965498,0.08663319617983466,0.10784794835982031
1063,Greene County,Alabama,8426,0.4687870875860432,0.023973415618324233,0.20365535248041775,0.08521243769285544,0.1184429147875623
1065,Hale County,Alabama,14887,0.4714851884194263,0.02297306374689326,0.18250822865587427,0.07980116880499764,0.10270705985087661
1067,Henry County,Alabama,17124,0.48072880168185006,0.02581172623218874,0.2158374211632796,0.09483765475356225,0.12099976640971735
1069,Houston County,Alabama,104352,0.47942540631708064,0.018428012879484822,0.16880366452008586,0.07271542471634468,0.09608823980374119
1071,Jackson County,Alabama,52094,0.4901908089223327,0.01913848043920605,0.19142319652935078,0.08473144699965447,0.10669174952969632
1073,Jefferson County,Alabama,659892,0.4733319997817825,0.019274366108393493,0.1502457977972153,0.06190709994968874,0.08833869784752657
1075,Lamar County,Alabama,13933,0.4880499533481662,0.024546041771334244,0.210866288667193,0.09100696188904041,0.11985932677815259
1077,Lauderdale County,Alabama,92585,0.47864124858238377,0.023794351136793217,0.19307663228384728,0.0834260409353567,0.10965059134849058
1079,Lawrence County,Alabama,33171,0.4824394802689096,0.0159476651291791,0.17445961834132223,0.07660305688703989,0.09785656145428236
1081,Lee County,Alabama,159287,0.4920175532215435,0.009875256612278466,0.11136502037203287,0.049815741397603065,0.0615492789744298
1083,Limestone County,Alabama,93052,0.49893607875166573,0.015335511326999956,0.14747667970597086,0.06539354339509092,0.08208313631087993
1085,Lowndes County,Alabama,10236,0.4718640093786635,0.01865963266901133,0.1785853849159828,0.07590855803048066,0.10267682688550214
1087,Macon County,Alabama,19054,0.4613204576466884,0.020625590427206887,0.18589272593681117,0.07825128581925055,0.10764144011756062
