countyFIPS,countyname,state,perc_black,perc_asian,perc_hispanic
1001,Autauga County,Alabama,0.19139492753623188,0.010289855072463768,0.027681159420289855
1003,Baldwin County,Alabama,0.09497037581628681,0.008072770257607866,0.04494322632107522
1005,Barbour County,Alabama,0.47575828097122025,0.0037235280428205724,0.04289814599332868
1007,Bibb County,Alabama,0.22275491632263505,0.001642473476272917,0.02428197274381853
1009,Blount County,Alabama,0.014953595281464133,0.003434816549570648,0.09126550438025847
1011,Bullock County,Alabama,0.7624613601236476,0.005409582689335394,0.004926584234930448
1013,Butler County,Alabama,0.45218476903870164,0.01153558052434457,0.0033458177278401996
1015,Calhoun County,Alabama,0.20570296616796122,0.009252984413282594,0.036516707501433564
1017,Chambers County,Alabama,0.393750369538225,0.011973038491101519,0.02270442854608881
1019,Cherokee County,Alabama,0.049007852086798434,0.002127412679379569,0.015394731752601245
1021,Chilton County,Alabama,0.09442294559526519,0.004325062599590257,0.07776007284315957
1023,Choctaw County,Alabama,0.42753346080305926,0.000994263862332696,0.0055831739961759086
1025,Clarke County,Alabama,0.45815393447328495,0.005043670808217493,0.0019682617788165826
1027,Clay County,Alabama,0.14777993721034535,0.001345492599790701,0.03102107938406339
1029,Cleburne County,Alabama,0.026308742803588164,0.00020083009773731424,0.024233498460302583
1031,Coffee County,Alabama,0.17214553111839026,0.012985493682732803,0.0691974730931212
1033,Colbert County,Alabama,0.15808789797229103,0.004899532067162125,0.024754564638957702
1035,Conecuh County,Alabama,0.47714559693143677,0.001438389004315167,0.008390602525171808
1037,Coosa County,Alabama,0.34205435283279595,0.0,0.004606172270842929
1039,Covington County,Alabama,0.12920671467966052,0.004256914138845011,0.01617091911863136
1041,Crenshaw County,Alabama,0.2306527226830148,0.013559322033898305,0.01983411467724486
1043,Cullman County,Alabama,0.012124451787688457,0.004057682261611167,0.04304301872122265
1045,Dale County,Alabama,0.1979291442493148,0.012851487158664096,0.062328697594152875
1047,Dallas County,Alabama,0.7047390641784707,0.005595942941367509,0.01029253791001524
1049,DeKalb County,Alabama,0.014101123595505617,0.001966292134831461,0.14353932584269663
1051,Elmore County,Alabama,0.21427867802787764,0.004826872875929666,0.028899669999507462
1053,Escambia County,Alabama,0.3193313330475782,0.003616588084012002,0.022449635662237462
1055,Etowah County,Alabama,0.15749132981668756,0.0071790089276173264,0.03769222549276756
1057,Fayette County,Alabama,0.11926439553813688,0.0065119083509195055,0.01718420259270425
1059,Franklin County,Alabama,0.044004818971530024,0.0037727474478473147,0.1690761524316784
1061,Geneva County,Alabama,0.09546638480993545,0.004114604960175154,0.03876788343210902
1063,Greene County,Alabama,0.7967006883455969,0.0,0.016971279373368148
1065,Hale County,Alabama,0.5876267884731645,0.0026197353395580034,0.008732451131860013
1067,Henry County,Alabama,0.2773300630693763,0.0,0.026162111656155104
1069,Houston County,Alabama,0.26907007053051213,0.008365915363385464,0.032936599202698556
1071,Jackson County,Alabama,0.034533727492609516,0.004127154758705417,0.028890083310937918
1073,Jefferson County,Alabama,0.4268910670230886,0.015532844768537881,0.03795772641583774
1075,Lamar County,Alabama,0.11182085695830044,0.0,0.015646307327926507
1077,Lauderdale County,Alabama,0.10113949343846196,0.006610142031646595,0.026051736242371875
1079,Lawrence County,Alabama,0.10934249796508999,0.001326459859515842,0.021313798197220464
1081,Lee County,Alabama,0.2302447782932694,0.04129024967511473,0.036820330598228354
1083,Limestone County,Alabama,0.13398959721446074,0.012616601470145724,0.05888105575377208
1085,Lowndes County,Alabama,0.7425752246971473,0.0,0.006838608831574834
1087,Macon County,Alabama,0.8260732654560722,0.00262412091949197,0.017214233231867323
1089,Madison County,Alabama,0.24055263452287728,0.025374762277659692,0.04836670768542343
1091,Marengo County,Alabama,0.5383355512334937,0.0,0.00588596581021599
1093,Marion County,Alabama,0.03660937760720841,0.0016352411146337393,0.02509594526948106
1095,Marshall County,Alabama,0.025813232434704923,0.0059908560618004095,0.13622365862630723
1097,Mobile County,Alabama,0.35555480527373096,0.019575120761879037,0.028874328062335558
1099,Monroe County,Alabama,0.4149776868724433,0.005578281889178133,0.014038676087764969
1101,Montgomery County,Alabama,0.5766520813779793,0.02689685865489268,0.03414543868230069
1103,Morgan County,Alabama,0.12783532848676146,0.006505935091754672,0.08135357028928325
1105,Perry County,Alabama,0.6944971537001897,0.002213788741302973,0.00938224752266498
1107,Pickens County,Alabama,0.4122080993201301,0.0006404571879002857,0.04591585377869741
1109,Pike County,Alabama,0.380115558482771,0.02140526300032931,0.007873544292428824
1111,Randolph County,Alabama,0.20142641977496234,0.0030123150527155136,0.02945866926552671
1113,Russell County,Alabama,0.4287186710872142,0.008898356037311253,0.0535962757459674
1115,St. Clair County,Alabama,0.09451813162898312,0.008441573316839621,0.02392733603646943
1117,Shelby County,Alabama,0.12049076734465898,0.02011256218611102,0.05739346116888588
1119,Sumter County,Alabama,0.7197535618020793,0.026030034655371584,0.0010011551790527532
1121,Talladega County,Alabama,0.32284490783839137,0.005833798796003227,0.022565630236455036
1123,Tallapoosa County,Alabama,0.2742641992322079,0.0038143518062801456,0.023476720149621027
1125,Tuscaloosa County,Alabama,0.3164688938136781,0.01601256952762435,0.036064651598104874
1127,Walker County,Alabama,0.06213077388243685,0.004946273238956166,0.023956088257640364
1129,Washington County,Alabama,0.24550862224358588,0.003725289911674578,0.010935528450399568
1131,Wilcox County,Alabama,0.6948838930520862,0.0,0.006476084744194653
1133,Winston County,Alabama,0.003769633507853403,0.0012984293193717277,0.030743455497382197
