state,countyFIPS,total_pop,perc_poverty,ln_medincome
AL,1001,55200,0.12179347826086956,10.9722074833392
AL,1003,208107,0.10744472795244754,10.999947526636095
AL,1005,25782,0.22919090838569545,10.490496137034405
AL,1007,22527,0.18204820881608735,10.777246495691305
AL,1009,57645,0.16174863387978142,10.876196424315083
AL,1011,10352,0.24507341576506955,10.370549358860943
AL,1013,20025,0.20594257178526842,10.595233752180444
AL,1015,115098,0.16497245825296702,10.773671516710033
AL,1017,33826,0.18964701708744752,10.645781976362318
AL,1019,25853,0.159401230031331,10.736005294543881
AL,1021,43930,0.16034600500796722,10.813599233333568
AL,1023,13075,0.2149904397705545,10.59182317609885
AL,1025,24387,0.17554434739820396,10.687891253367626
AL,1027,13378,0.1611601136193751,10.610586946714077
AL,1029,14938,0.13020484669969207,10.844978085432025
AL,1031,51288,0.15079550772110434,10.956038450543563
AL,1033,54495,0.14676575832645197,10.75113535168762
AL,1035,12514,0.21272175163816526,10.634388023957865
AL,1037,10855,0.16480884385076003,10.645996162633798
AL,1039,37351,0.16784021846804636,10.710766667140986
AL,1041,13865,0.16509195816804906,10.676115744586301
AL,1043,82313,0.12255658279980076,10.83755926170537
AL,1045,49255,0.17717998172774338,10.71708088617194
AL,1047,40029,0.23815233955382348,10.435115303931381
AL,1049,71200,0.18044943820224718,10.698220633849886
AL,1051,81212,0.10777963847707235,11.039877205538268
AL,1053,37328,0.18699099871410202,10.662235190180022
AL,1055,102939,0.18264214729111417,10.670047821016515
AL,1057,16585,0.16406391317455532,10.696751524430846
AL,1059,31542,0.15817005896899372,10.711613841419723
AL,1061,26491,0.15778943792231323,10.671023023099933
AL,1063,8426,0.3029907429385236,10.264617557935098
AL,1065,14887,0.19856250419829383,10.61508841175432
AL,1067,17124,0.1704625087596356,10.791317079588248
AL,1069,104352,0.19364267095982826,10.822534482604
AL,1071,52094,0.14360578953430336,10.699236446756792
AL,1073,659892,0.15803798197280766,10.899088416123256
AL,1075,13933,0.14856814756333883,10.661626276603513
AL,1077,92585,0.15329697035156883,10.782865306386743
AL,1079,33171,0.1740375629314763,10.774718155003685
AL,1081,159287,0.15526063018325412,10.899697907586157
AL,1083,93052,0.12396294544985599,11.077964602632951
