death14_sum,death15_sum,death16_sum,death17_sum,death18_sum,countyFIPS,statecode,countyname,coviddeath_may21,alldeath_may21,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,POPESTIMATE2020,death14_pop,death15_pop,death16_pop,death17_pop,death18_pop,death20_pop,avgdeath_pop,excessmortal_final
354,372,374,367,387,12123,FL,Taylor County,,249.0,22591,22362,22098,21784,21525,21537,21600,0.015669957062547032,0.01663536356318755,0.0169246085618608,0.01684722732280573,0.01797909407665505,0.011527777777777777,0.01681125011741123,-0.3142819423144158
328,342,319,338,340,12125,FL,Union County,26.0,174.0,15260,15268,15256,15455,15302,15213,15182,0.021494102228047183,0.022399790411317788,0.020909805977975877,0.0218699450016176,0.022219317736243627,0.011460940587537874,0.02177859227104041,-0.4737520017408196
9457,9528,9802,10374,10167,12127,FL,Volusia County,762.0,11352.0,507050,517144,529100,538755,547117,554065,561497,0.018651020609407355,0.018424268675649336,0.018525798525798526,0.019255505749366596,0.018582862532145774,0.02021738317390832,0.01868789121847352,0.08184400998240265
357,363,414,396,378,12129,FL,Wakulla County,,312.0,31418,31529,31894,32055,32369,33636,34319,0.011362912979820484,0.011513210060579149,0.012980497899291402,0.012353766963032288,0.01167783990855448,0.00909117398525598,0.011977645562255562,-0.24098822777788206
829,812,907,945,993,12131,FL,Walton County,93.0,992.0,61244,63145,65488,68110,70874,74127,76648,0.013536019855006205,0.012859292105471534,0.013849865624236502,0.013874614594039054,0.01401077969354065,0.012942281598998016,0.013626114374458789,-0.05018545688582872
381,416,466,466,474,12133,FL,Washington County,35.0,387.0,24300,24556,24469,24577,24845,25647,25932,0.015679012345679012,0.01694086984850953,0.019044505292410807,0.018960817024046873,0.019078285369289596,0.014923646459972234,0.017940697975987165,-0.1681680121951287
304,305,279,296,306,13001,GA,Appling County,33.0,210.0,18469,18420,18443,18447,18538,18389,18325,0.01646001407764362,0.016558089033659067,0.015127690722767446,0.016045969534341627,0.016506635019959002,0.01145975443383356,0.01613967967767415,-0.2899639483126968
589,588,637,677,663,13009,GA,Baldwin County,109.0,737.0,45920,45566,45260,44993,45001,45006,45099,0.012826655052264808,0.012904358512926305,0.01407423773751657,0.015046785055453071,0.014733005933201485,0.01634182576110335,0.013917008458272448,0.17423408989807443
744,799,777,909,907,13013,GA,Barrow County,39.0,626.0,72843,74979,77108,79086,81105,83581,85588,0.010213747374490342,0.010656317102121927,0.010076775431861805,0.011493816857598057,0.011183034338203564,0.007314109454596439,0.01072473822085514,-0.31801510638520314
1160,1226,1229,1238,1353,13015,GA,Bartow County,152.0,1576.0,101251,102063,103418,105190,106488,107757,109426,0.011456676971091644,0.012012188550209184,0.011883811328782223,0.011769179579807967,0.012705656975433851,0.014402427211083289,0.011965502681064975,0.20366252843473673
299,322,295,312,329,13017,GA,Ben Hill County,60.0,315.0,17462,17368,17267,17059,16794,16711,16614,0.017122895430076737,0.01853984339014279,0.01708461226617247,0.01828946597104168,0.019590329879718947,0.01895991332611051,0.018125429387430524,0.04603940247940697
290,298,319,322,319,13019,GA,Berrien County,12.0,222.0,18813,18989,18968,19071,19207,19377,19408,0.015414872694413438,0.015693296118805624,0.01681779839730072,0.01688427455298621,0.016608528140782005,0.011438582028029678,0.0162837539808576,-0.29754637404395046
2420,2382,2354,2370,2450,13021,GA,Bibb County,636.0,4405.0,154447,154068,153212,152920,153069,153191,152737,0.01566880548019709,0.015460705662434768,0.015364331775578936,0.015498299764582788,0.016005853569305346,0.028840425044357295,0.015599599250419784,0.8487926889263646
348,365,381,397,398,13029,GA,Bryan County,,252.0,33726,34860,35916,37091,38151,39692,40755,0.010318448674613059,0.01047045324153758,0.010608085532910124,0.010703405138712895,0.010432229823595712,0.006183290393816709,0.010506524482273873,-0.41148089415782796
681,728,766,759,725,13031,GA,Bulloch County,119.0,1048.0,72667,73137,74660,76046,77332,79718,80839,0.009371516644419063,0.009953922091417476,0.010259844628984731,0.00998080109407464,0.009375161640717944,0.012964039634334913,0.00978824921992277,0.3244492802602752
330,344,335,337,337,13033,GA,Burke County,16.0,270.0,22629,22644,22638,22553,22501,22497,22648,0.014583057139069336,0.01519166225048578,0.014798127043025001,0.014942579701148406,0.01497711212834985,0.011921582479689156,0.014898507652415674,-0.19981364860015577
362,356,378,395,409,13035,GA,Butts County,31.0,335.0,23337,23516,23738,24064,24172,24917,25426,0.015511848138149719,0.015138629018540567,0.015923835200943634,0.016414561170212765,0.01692040377296045,0.013175489656257375,0.015981855460161426,-0.17559699566171055
471,475,509,539,515,13039,GA,Camden County,23.0,397.0,52000,52549,52602,53211,53816,54784,55388,0.009057692307692308,0.009039182477306895,0.009676438158244934,0.010129484505083535,0.009569644715326297,0.007167617534484003,0.009494488432730794,-0.24507596325308695
1475,1454,1503,1552,1544,13045,GA,Carroll County,313.0,2054.0,113970,114501,116180,117437,118094,120115,121633,0.012942002281302097,0.012698579051711338,0.012936822172490963,0.013215596447456934,0.013074330617982285,0.016886864584446656,0.012973466114188726,0.30164633227645715
829,918,935,934,915,13047,GA,Catoosa County,47.0,806.0,65516,65841,66350,66570,67402,67585,67996,0.012653397643323768,0.013942680092951201,0.014091936699321779,0.014030343998798258,0.013575264828936827,0.011853638449320547,0.013658724652666368,-0.1321562773427344
3325,3350,3439,3376,3444,13051,GA,Chatham County,638.0,5575.0,282396,286239,289055,289771,289771,290185,289463,0.011774246094137311,0.011703506510293846,0.011897389770112954,0.011650579250511611,0.011885247315984001,0.01925980177086536,0.011782193788207945,0.6346532841906982
471,437,452,462,475,13055,GA,Chattooga County,,274.0,24871,24918,24847,24757,24836,24846,24843,0.018937718628121106,0.017537523075688257,0.01819133094538576,0.01866138869814598,0.019125463037526172,0.011029263776516524,0.018490684876973452,-0.40352324157277025
1884,2020,2135,2242,2293,13057,GA,Cherokee County,198.0,2205.0,230239,235424,241929,247944,254277,259475,265274,0.008182801349901623,0.00858026369444067,0.008824903174071731,0.009042364404865616,0.009017724764725083,0.008312160256941878,0.008729611477600947,-0.04782013744027374
1032,1036,1080,1096,1081,13059,GA,Clarke County,432.0,2619.0,120437,123621,124873,126674,127179,128238,127795,0.008568795303768775,0.008380453159252878,0.008648787167762446,0.00865213066611933,0.008499830946933063,0.02049375953675809,0.008549999448767298,1.3969310945058353
2144,2176,2369,2510,2513,13063,GA,Clayton County,171.0,2021.0,266757,272874,279346,284175,289229,292404,292646,0.008037277372290137,0.007974376452135418,0.008480522362947742,0.008832585554675816,0.008688616978242154,0.006905954634609733,0.008402675744058253,-0.17812434455856385
5824,5912,5922,6224,6253,13067,GA,Cobb County,1037.0,8642.0,727847,739428,748767,753361,757133,761060,762944,0.00800168167210966,0.007995369393639408,0.00790900239994551,0.008261643488314367,0.008258786765337133,0.011327174733663284,0.008085296743869215,0.4009596793404356
548,556,602,588,600,13069,GA,Coffee County,134.0,659.0,42893,42998,42924,42871,43060,43278,43218,0.012775977432215048,0.01293083399227871,0.014024787997390736,0.013715565300552821,0.013934045517882025,0.015248276181220788,0.013476242048063867,0.13149319571708865
642,658,647,713,696,13071,GA,Colquitt County,114.0,821.0,45880,45486,45471,45501,45467,45569,45542,0.013993025283347863,0.014465989535241613,0.014228849156605309,0.0156699852750489,0.015307805661248819,0.01802731544508366,0.0147331309822985,0.22359025157266588
1187,1198,1303,1375,1407,13073,GA,Columbia County,35.0,978.0,139223,143991,147622,151757,154399,157129,160377,0.008525890118730383,0.008319964442222083,0.008826597661595156,0.009060537569930876,0.009112753320941198,0.006098131278175798,0.00876914862268394,-0.30459255047847894
1309,1384,1451,1463,1528,13077,GA,Coweta County,195.0,1662.0,135191,138217,140561,143218,146063,148504,150849,0.009682597214311604,0.0100132400500662,0.010322920297948934,0.010215196413858593,0.010461239328235077,0.011017640156713004,0.010139038660884081,0.08665530581499059
434,419,420,489,445,13087,GA,Decatur County,39.0,412.0,27183,27063,26682,26727,26613,26496,26457,0.015965861016076225,0.01548239293500351,0.01574094895435125,0.018296105062296553,0.016721151317025514,0.01557243829610311,0.01644129185695061,-0.05284582065734638
5932,6055,6234,6536,6493,13089,GA,DeKalb County,726.0,7706.0,725247,734846,747299,751680,755514,759932,762009,0.008179282368627515,0.008239821676922783,0.008342042475635589,0.008695189442315879,0.008594149148791419,0.010112741450560295,0.008410097022458636,0.20245241208928444
297,336,318,293,288,13091,GA,Dodge County,97.0,354.0,21167,21133,20866,20777,20858,20672,20452,0.014031275098029952,0.015899304405432264,0.015240103517684272,0.014102132165375175,0.013807651740339438,0.017308820653236846,0.01461609338537222,0.18423029990760084
1261,1356,1314,1334,1351,13095,GA,Dougherty County,400.0,2150.0,92775,91556,90365,89537,89247,87854,86477,0.013592023713284829,0.014810607715496527,0.014541028052896586,0.014898868624144208,0.015137763734355216,0.024862102061819907,0.014596058368035472,0.7033435626885736
1304,1329,1325,1382,1396,13097,GA,Douglas County,121.0,1205.0,138082,140264,141824,143563,145260,146680,147988,0.009443663909850668,0.00947499001882165,0.009342565433212996,0.009626435780807033,0.009610353848272064,0.008142552098818824,0.009499601798192883,-0.14285332461327085
591,572,631,680,645,13103,GA,Effingham County,21.0,410.0,55452,57125,58705,60121,62274,64342,65765,0.010657866262713698,0.010013129102844638,0.01074865854697215,0.011310523777049617,0.010357452548415068,0.006234319166730023,0.010617526047599034,-0.41282751379359184
392,367,430,448,402,13107,GA,Emanuel County,58.0,361.0,22476,22465,22405,22528,22582,22600,22507,0.017440825769709914,0.016336523480970398,0.019192144610577996,0.019886363636363636,0.017801789035515013,0.016039454391966943,0.01813152930662739,-0.11538325748924871
448,454,496,494,500,13111,GA,Fannin County,32.0,451.0,23869,24455,25051,25348,25995,26068,26521,0.018769114751351124,0.018564710693109793,0.019799608798051975,0.019488717058545053,0.019234468166955183,0.017005391953546247,0.019171323893602626,-0.1129776927288334
1165,1254,1183,1220,1270,13113,GA,Fayette County,260.0,1670.0,109259,110215,111294,112626,113333,114645,115821,0.010662737165817004,0.01137776164768861,0.010629503836684817,0.01083231225471916,0.011205915311515623,0.01441880142633892,0.010941646043285043,0.31779088532916194
1443,1515,1524,1540,1587,13115,GA,Floyd County,412.0,2673.0,95894,96209,96730,97459,97907,98325,98604,0.015047865351325422,0.015746967539419388,0.01575519487232503,0.015801516535158374,0.01620925980777677,0.02710843373493976,0.015712160821200995,0.725315444732551
1489,1584,1556,1597,1668,13117,GA,Forsyth County,270.0,2452.0,202697,211368,220856,229367,237330,244624,250847,0.007345939999111975,0.007494038832746679,0.007045314594124679,0.006962640658856767,0.007028188598154468,0.009774882697421137,0.007175224536598914,0.36231035663930206
413,401,396,428,431,13119,GA,Franklin County,37.0,368.0,22187,22281,22333,22876,23039,23322,23504,0.018614503988822282,0.017997396885238545,0.017731607934446784,0.018709564609197413,0.018707409175745475,0.015656909462219197,0.018352096518690096,-0.14685989983357342
9095,8987,9127,9391,9356,13121,GA,Fulton County,1682.0,14062.0,992321,1005752,1023816,1039996,1051516,1065019,1077402,0.009165380960394872,0.008935602414909441,0.008914687795463247,0.009029842422470855,0.0088976297079645,0.01305176712127878,0.008988628660240583,0.45203096207663845
409,459,468,498,492,13123,GA,Gilmer County,29.0,369.0,28999,29512,29897,30470,31011,31575,31978,0.014103934618435118,0.01555299539170507,0.015653744522861824,0.01634394486380046,0.015865338105833415,0.011539183188442053,0.015503991500527179,-0.25572823049795346
1143,1178,1228,1302,1231,13127,GA,Glynn County,207.0,1692.0,82212,83368,84211,84836,85099,85326,85568,0.01390307984235878,0.01413012186930237,0.014582417973898898,0.015347258239426658,0.01446550488254856,0.019773747195213163,0.014485676561507056,0.36505513644824533
720,720,750,753,841,13129,GA,Gordon County,113.0,811.0,55848,56330,57015,57204,57737,58046,58780,0.01289213579716373,0.01278182140955086,0.013154433043935806,0.013163415145794,0.014566049500320418,0.01379720993535216,0.013311570979352963,0.036482467527871154
337,328,373,373,367,13131,GA,Grady County,28.0,286.0,25236,25106,24895,24762,24730,24588,24491,0.013353938817562213,0.013064606070262089,0.014982928298855192,0.015063403602293838,0.014840274969672463,0.011677759176840472,0.014261030351729159,-0.1811419729974464
5446,5798,5945,5970,6144,13135,GA,Gwinnett County,821.0,6737.0,871052,888597,905291,918681,928072,937399,942627,0.0062522099713909155,0.006524892611611338,0.00656694919092314,0.006498447230322604,0.0066201760208259705,0.007147047559639179,0.006492535005014793,0.1008100155207241
567,654,668,667,635,13137,GA,Habersham County,68.0,566.0,43553,43775,44166,44687,45580,45542,46047,0.0130186209905173,0.014940034266133637,0.015124756600099624,0.014926041130530131,0.013931548924967091,0.012291788824461962,0.014388200382449557,-0.14570352804821626
2052,2039,2092,2152,2191,13139,GA,Hall County,789.0,4387.0,189156,192249,196176,198854,201396,204310,206591,0.01084818879654888,0.010606036962480948,0.010663893646521492,0.010822010117976002,0.010879064132356155,0.021235194175932157,0.010763838731176697,0.9728272325769728
468,537,510,516,496,13143,GA,Haralson County,12.0,402.0,28513,28733,28860,29286,29626,29884,30383,0.016413565741942273,0.018689311940973792,0.017671517671517672,0.017619340299119032,0.0167420509012354,0.013231083171510383,0.017427157310957633,-0.24077788847461049
346,362,354,401,393,13145,GA,Harris County,,195.0,32730,33147,33615,33945,34552,35188,36080,0.010571341277115795,0.010921048662020696,0.010531012940651495,0.011813227279422595,0.01137416068534383,0.0054046563192904655,0.011042158168910882,-0.5105434792170215
396,444,429,411,408,13147,GA,Hart County,13.0,302.0,25367,25415,25459,25708,26078,26255,26406,0.01561083297197146,0.01746999803265788,0.016850622569621745,0.015987241325657382,0.01564537157757497,0.011436794667878513,0.01631281329549669,-0.2989072785479773
1947,2050,2060,2196,2275,13151,GA,Henry County,342.0,2970.0,213059,216548,221040,225246,229873,234671,239139,0.009138313800402705,0.009466723313076084,0.009319580166485705,0.009749340720811912,0.009896769085538536,0.01241955515411539,0.009514145417262986,0.30537789884740135
1467,1579,1645,1699,1715,13153,GA,Houston County,231.0,2060.0,148429,149197,151287,152757,155004,157427,160110,0.0098835133296054,0.010583322720966239,0.010873373125252004,0.011122239897353312,0.011064230600500631,0.012866154518768347,0.010705335934735516,0.20184500488411955
786,851,827,871,856,13157,GA,Jackson County,21.0,563.0,62125,63439,65091,67681,70347,73015,76199,0.012651911468812877,0.013414461135894324,0.01270528951775207,0.012869195195106455,0.012168251666737743,0.007388548406147062,0.012761821796860692,-0.4210428163191726
732,731,789,800,778,13175,GA,Laurens County,189.0,1224.0,47553,47491,47287,47362,47293,47567,47512,0.015393350577250647,0.015392390137078604,0.01668534692410176,0.016891178581985557,0.016450637515065654,0.025761912779929282,0.016162580747096443,0.5939232219803343
463,499,510,527,571,13179,GA,Liberty County,19.0,406.0,64217,61762,61672,61819,60887,62813,63004,0.00720992883504368,0.008079401573783233,0.008269555065507849,0.008524887170610977,0.00937802815050832,0.006444035299346073,0.008292360159090812,-0.22289490860071284
1179,1152,1277,1312,1378,13185,GA,Lowndes County,311.0,1860.0,113630,113501,114457,115495,116361,117600,118268,0.01037578104373845,0.01014969031109858,0.011157028403679985,0.011359799125503268,0.011842455805639347,0.015726992931308553,0.010976950937931926,0.43272872587618055
371,390,395,447,411,13187,GA,Lumpkin County,29.0,343.0,31122,31292,31422,32812,32934,33692,34186,0.011920827710301394,0.012463249392816055,0.012570810260327159,0.01362306473241497,0.0124795044634724,0.010033346984145557,0.012611491311866396,-0.20442818886098058
419,382,403,392,455,13195,GA,Madison County,,252.0,28376,28431,28833,29253,29653,29925,30457,0.014765999436143219,0.013436038127396152,0.013977040196996497,0.01340033500837521,0.015344147303814117,0.008273960009193289,0.01418471201454504,-0.41669876690417473
345,385,412,371,378,13199,GA,Meriwether County,27.0,264.0,21201,21167,21052,21011,21061,21112,21164,0.016272817319937738,0.018188689941890678,0.019570587117613527,0.01765741754319166,0.017947865723374958,0.012474012474012475,0.01792747552920171,-0.3041958164330609
328,345,333,394,382,13205,GA,Mitchell County,20.0,273.0,22712,22449,22443,22313,22156,21846,21602,0.014441704825642832,0.015368167847120138,0.014837588557679455,0.01765786761080984,0.017241379310344827,0.012637718729747246,0.01590934163031942,-0.20564162720204826
335,367,381,406,407,13207,GA,Monroe County,40.0,380.0,26637,26683,26880,27153,27523,27677,28042,0.012576491346623118,0.013754075628677436,0.014174107142857143,0.014952307295694767,0.014787632162191621,0.013551101918550745,0.014048922715208818,-0.035434802137472854
480,495,556,526,535,13213,GA,Murray County,23.0,401.0,39212,39426,39322,39761,39836,39996,40032,0.012241150668162807,0.012555166641302693,0.014139667361782208,0.013229043535122356,0.01343006325936339,0.010016986410871303,0.013119018293146689,-0.23645304953160043
2524,2695,2812,2715,2785,13215,GA,Muscogee County,684.0,4468.0,200746,198925,196354,193858,194362,196074,196442,0.012573102328315383,0.013547819529973608,0.01432107316377563,0.014005096513943195,0.014328932610283904,0.022744626912778326,0.013755204829258344,0.6535287692989356
1162,1163,1170,1249,1221,13217,GA,Newton County,136.0,1177.0,103470,104920,106529,107903,109556,111894,113295,0.011230308301923262,0.01108463591307663,0.010982924837368228,0.011575211069201041,0.011144985213041731,0.010388807979169424,0.011203613066922179,-0.07272699288039546
291,332,334,367,397,13219,GA,Oconee County,45.0,540.0,35077,35861,36928,38122,39500,40296,41124,0.008296034438520969,0.009257968266361785,0.009044627383015598,0.009626987041603273,0.010050632911392405,0.013131018383425737,0.009255250008178806,0.4187643091026108
1126,1180,1258,1336,1333,13223,GA,Paulding County,142.0,1195.0,148562,151691,155415,159642,164482,169302,173359,0.007579327149607571,0.007778971725415483,0.008094456777016375,0.008368725022237256,0.008104230250118555,0.006893210043897346,0.007985142184879047,-0.13674548501458406
406,418,457,422,449,13225,GA,Peach County,18.0,279.0,27391,27216,27111,27179,27574,27697,27950,0.014822386915410171,0.015358612580834803,0.016856626461583857,0.01552669340299496,0.016283455429027344,0.00998211091234347,0.01576955495797023,-0.3670011018733078
426,432,488,466,463,13227,GA,Pickens County,87.0,590.0,29807,30139,30654,31542,32039,32648,33127,0.014291944845170598,0.014333587710275722,0.01591961897305409,0.01477395219072982,0.014451137675957427,0.017810245419144506,0.014754048279037531,0.20714295373759908
666,663,710,692,687,13233,GA,Polk County,14.0,470.0,40876,41209,41584,41842,42373,42616,42840,0.01629317937175849,0.01608871848382635,0.01707387456714121,0.016538406385928014,0.01621315460316711,0.010971055088702147,0.016441466682364233,-0.3327204135340228
310,363,320,325,346,13237,GA,Putnam County,24.0,291.0,21142,21310,21502,21676,21749,22083,22520,0.01466275659824047,0.01703425621773815,0.014882336526834712,0.014993541243771913,0.015908777415053567,0.012921847246891651,0.01549633360032776,-0.1661351917063567
2792,2854,2782,2853,2895,13245,GA,Richmond County,1039.0,6049.0,201448,201639,202179,201965,202027,202639,202079,0.013859656089909059,0.014154007905216748,0.01376008388606136,0.014126209986878914,0.014329767803313418,0.029933837756520965,0.0140459451342759,1.1311373118975323
862,935,1006,1015,1051,13247,GA,Rockdale County,168.0,1299.0,87222,88424,88995,89800,90402,90639,90939,0.009882827726949622,0.010574052293494979,0.011304005843024888,0.011302895322939866,0.011625848985641911,0.014284300465146966,0.010937926034410253,0.30594231668866295
1024,1008,1035,1113,1068,13255,GA,Spalding County,235.0,1804.0,63703,63826,64523,65348,66092,66835,67414,0.016074596172864702,0.015792937047598158,0.01604079165568867,0.017031890800024485,0.01615929310657871,0.02676002017385113,0.016219901756550945,0.649826279807349
458,497,497,510,517,13257,GA,Stephens County,38.0,450.0,25429,25475,25680,25785,26083,26017,26107,0.01801093240001573,0.019509322865554464,0.019353582554517135,0.01977894124490983,0.01982133956983476,0.017236756425479758,0.019294823726966382,-0.10666421889152976
481,512,533,571,501,13261,GA,Sumter County,81.0,546.0,31089,30625,30334,29838,29713,29401,29282,0.015471710251214256,0.016718367346938774,0.017571042394672644,0.019136671358670154,0.016861306498838893,0.01864626733146643,0.017151819570066944,0.08713056683546093
330,364,355,355,335,13267,GA,Tattnall County,26.0,258.0,25319,25394,25352,25420,25508,25317,25365,0.013033690114143529,0.014334094668031818,0.014002840012622279,0.013965381589299764,0.013133134702838325,0.01017149615612064,0.013693828217387141,-0.2572204065473944
704,705,732,731,747,13275,GA,Thomas County,187.0,1124.0,44784,44819,44967,44623,44336,44427,44372,0.015719899964272956,0.015729935964657847,0.016278604309827208,0.0163816865741882,0.016848610609888126,0.02533129000270441,0.01619174748456687,0.564456833757374
571,560,579,636,674,13277,GA,Tift County,217.0,994.0,40456,40538,40562,40455,40562,40653,40719,0.014114099268340913,0.013814199023138784,0.01427444406094374,0.0157211716722284,0.01661653764607268,0.02441120852673199,0.014908090334144905,0.6374470491919088
453,451,421,433,416,13279,GA,Toombs County,135.0,803.0,27131,27151,27141,26868,26910,26844,26973,0.016696767535291732,0.016610806231814667,0.015511587634943444,0.016115825517344053,0.015458937198067632,0.029770511251992735,0.016078784823492308,0.8515398756065067
905,992,985,984,1003,13285,GA,Troup County,236.0,1305.0,69341,69666,69990,70123,70091,70059,70214,0.013051441427149882,0.014239370711681451,0.014073439062723247,0.014032485774995366,0.014309968469560999,0.01858603697268351,0.01394134108922219,0.3331599057605767
423,449,433,477,445,13291,GA,Union County,54.0,500.0,21782,22029,22664,23406,23961,24606,25358,0.019419704343035533,0.020382223432747742,0.019105188845746558,0.020379389900025635,0.018571845916280624,0.019717643347267135,0.01957167048756722,0.007458375093359809
506,488,481,519,576,13293,GA,Upson County,160.0,832.0,26166,26237,26243,26223,26249,26402,26527,0.019338072307574717,0.01859968746426802,0.018328697176389894,0.01979178583686077,0.02194369309307021,0.03136427036604215,0.01960038717563272,0.6001862659649058
1183,1164,1236,1173,1208,13295,GA,Walker County,30.0,786.0,68714,68604,68509,69087,69507,69769,70116,0.01721628780161248,0.016966940703165997,0.018041425214205434,0.016978592209822396,0.017379544506308717,0.011209994865651206,0.017316558087023003,-0.35264301316022173
1116,1167,1145,1195,1314,13297,GA,Walton County,191.0,1355.0,87557,88373,89886,91389,93450,94818,96875,0.012745982617038043,0.013205390786778768,0.01273835747502392,0.013075971944107059,0.01406099518459069,0.013987096774193549,0.013165339601507698,0.0624182282841943
626,638,629,651,675,13299,GA,Ware County,181.0,937.0,35520,35337,35675,35705,35703,35816,35826,0.017623873873873874,0.018054730169510712,0.017631394533987387,0.01823274051253326,0.01890597428787497,0.02615418969463518,0.01808974267555604,0.44580219651086084
468,476,501,525,500,13305,GA,Wayne County,65.0,522.0,29916,29460,30038,29843,29874,30017,30023,0.015643802647412757,0.016157501697216563,0.016678873426992476,0.017592065140904063,0.0167369619066747,0.017386670219498385,0.016561840963840113,0.04980299336644652
394,414,378,397,425,13311,GA,White County,17.0,316.0,28025,28389,28793,29429,29893,30601,31094,0.014058876003568243,0.014583113177639226,0.013128190879727712,0.013490094804444595,0.01421737530525541,0.010162732359940824,0.013895530034127038,-0.26863298233450367
1114,1179,1172,1156,1230,13313,GA,Whitfield County,234.0,1442.0,103039,103621,104314,104086,104109,104265,103837,0.010811440328419337,0.011378002528445006,0.01123530877926261,0.011106200641776993,0.011814540529637207,0.013887150052486108,0.01126909856150823,0.23232128787304562
310,307,302,335,381,13321,GA,Worth County,15.0,216.0,21010,20692,20732,20532,20307,20185,19972,0.014754878629224179,0.014836651846124106,0.014566853173837546,0.01631599454510033,0.0187620032501108,0.010815141197676747,0.015847276288879393,-0.3175394307180646
2177,2358,2346,2499,2450,15001,HI,Hawaii County,51.0,2424.0,193812,196111,198583,200400,202263,202165,203340,0.011232534621179287,0.012023802846347222,0.011813700064960244,0.01247005988023952,0.012112942060584487,0.01192092062555326,0.011930607894662151,-0.0008119677718371019
10539,10369,10557,10896,10971,15003,HI,Honolulu County,367.0,11485.0,988002,991755,993044,986973,981076,973491,963826,0.010666982455501102,0.010455203149971516,0.010630948880412147,0.011039815678848357,0.011182619898968071,0.011916051237464023,0.01079511401274024,0.10383746048451824
740,786,794,805,827,15007,HI,Kauai County,,731.0,70316,71052,71574,71838,72292,72190,71851,0.01052392058706411,0.01106232055396048,0.011093413809483891,0.011205768534758763,0.01143971670447629,0.010173831957801562,0.011065028037948708,-0.08054169199487729
1581,1637,1530,1609,1666,15009,HI,Maui County,52.0,1730.0,163116,163993,165596,166465,167384,167682,167902,0.009692488780990216,0.009982133383741989,0.009239353607575062,0.009665695491544769,0.009953161592505855,0.01030362949815964,0.009706566571271577,0.06151123803706084
3834,4028,4254,4457,4372,16001,ID,Ada County,666.0,5966.0,425774,433254,444929,456994,469161,481880,494399,0.009004777182261012,0.009297086697410757,0.009561076036850823,0.009752863276104282,0.00931876264224861,0.012067176511279351,0.009386913166975097,0.28553192051822934
968,971,993,1068,1077,16005,ID,Bannock County,125.0,1189.0,83587,84263,84762,85571,86761,87822,88795,0.011580748202471677,0.011523444453674803,0.011715155376229915,0.012480863844059319,0.012413411555883404,0.013390393603243426,0.011942724686463823,0.12121764126576795
501,502,531,561,563,16011,ID,Bingham County,33.0,490.0,45226,45071,45313,45888,46054,46772,47202,0.011077698668907265,0.011137982294601851,0.011718491382164058,0.01222541841004184,0.012224779606548834,0.010380916062878692,0.01167687407245277,-0.11098501204456826
579,621,618,620,629,16017,ID,Bonner County,23.0,504.0,41330,41656,42423,43715,44709,45774,46817,0.014009194289862085,0.014907816400998655,0.014567569478820451,0.014182774791261581,0.014068755731508198,0.01076532028963838,0.014347222138490195,-0.24965821357448856
1116,1135,1221,1276,1293,16019,ID,Bonneville County,247.0,1817.0,108285,109916,112162,114608,116661,119286,122134,0.010306136584014407,0.010326067178572729,0.010886039835238316,0.011133603238866396,0.01108339547920899,0.014877102199223804,0.010747048463180166,0.38429655827768644
1900,2070,2101,2202,2315,16027,ID,Canyon County,245.0,2297.0,202542,206956,211573,217037,223518,230270,237053,0.009380770408112886,0.010002126055779973,0.009930378639996598,0.010145735519750088,0.010357107704972307,0.009689816201440184,0.00996322366572237,-0.027441666819427203
1823,1845,1954,2097,2213,16055,ID,Kootenai County,244.0,2687.0,146687,149566,153221,157594,161279,165656,170628,0.012427822506425245,0.012335691266731744,0.012752821088493092,0.013306344150158,0.013721563253740413,0.015747708465199146,0.0129088484531097,0.21991582149262695
669,698,740,729,710,16069,ID,Nez Perce County,54.0,775.0,39873,40039,40200,40376,40408,40601,40755,0.016778271010458205,0.017433002822248307,0.018407960199004977,0.018055280364573014,0.017570778063749754,0.019016071647650595,0.017649058492006854,0.07745530200734803
1021,1059,1065,1037,1111,16083,ID,Twin Falls County,189.0,1420.0,81019,82289,83847,85439,86166,87127,88411,0.012601982251076909,0.012869277789254943,0.01270170668002433,0.012137314341225903,0.012893716779240071,0.016061349832034475,0.012640799568164432,0.27059603670044907
1115,1124,1091,1171,1164,17001,IL,Adams County,224.0,1544.0,66983,66850,66490,66073,65603,65402,64783,0.01664601466043623,0.01681376215407629,0.016408482478568204,0.017722821727483237,0.017743091017179094,0.02383341308676659,0.017066834407548612,0.3964753227010359
572,555,570,616,620,17007,IL,Boone County,40.0,498.0,53702,53571,53559,53481,53368,53281,52777,0.010651372388365424,0.010360082880663046,0.010642469052820255,0.01151810923505544,0.011617448658372059,0.009435928529473066,0.010957896443055245,-0.13889234320577584
535,551,618,551,557,17011,IL,Bureau County,80.0,575.0,33858,33494,33393,33134,32938,32621,32303,0.015801287731112293,0.016450707589419,0.01850687269787081,0.01662944407557192,0.01691055923249742,0.017800204315388663,0.016859774265294288,0.055779516101247185
1775,1760,1897,1913,1881,17019,IL,Champaign County,269.0,2770.0,208068,209534,210388,210630,210206,209612,209192,0.008530864909548802,0.008399591474414653,0.009016673954788296,0.009082276978588046,0.00894836493725203,0.013241424146238861,0.008795554450918366,0.5054678156027209
