countyFIPS,state,total_hh,perc_inc10less,perc_inc15less,perc_inc25less,perc_SSI,perc_SNAP
1001,Alabama,21115,0.07085010655931802,0.1286762964717026,0.23012076722708974,0.05517404688609993,0.127
1003,Alabama,78622,0.05376357762458345,0.1056320113963013,0.19741293785454453,0.04309226425173616,0.075
1005,Alabama,9186,0.13335510559547137,0.2228391029827999,0.3879817112998041,0.1038536903984324,0.27399999999999997
1007,Alabama,6840,0.06388888888888888,0.1456140350877193,0.2747076023391813,0.0706140350877193,0.124
1009,Alabama,20600,0.08364077669902913,0.14004854368932038,0.25393203883495147,0.08038834951456311,0.095
1011,Alabama,3609,0.22748683845940704,0.3349958437240233,0.42532557495151013,0.10335272928789138,0.259
1013,Alabama,6708,0.1124031007751938,0.20423375074537864,0.33974358974358976,0.07483601669648181,0.18600000000000003
1015,Alabama,45033,0.0859813914240668,0.15728465791752716,0.28494659471942796,0.07319077121222214,0.179
1017,Alabama,13516,0.08759988162178159,0.1597366084640426,0.3309411068363421,0.0705090263391536,0.147
1019,Alabama,10606,0.08617763530077314,0.1637752215726947,0.3063360362059212,0.09004337167640958,0.159
1021,Alabama,16751,0.09402423735896365,0.17091516924362724,0.2789087218673512,0.0677571488269357,0.182
1023,Alabama,5350,0.12560747663551403,0.21177570093457945,0.38168224299065423,0.09607476635514019,0.247
1025,Alabama,9358,0.19908100021372088,0.2713186578328703,0.3825603761487497,0.09243428082923702,0.195
1027,Alabama,5236,0.0962566844919786,0.1715049656226127,0.28189457601222306,0.10676088617265088,0.157
1029,Alabama,5726,0.09989521480964024,0.17219699615787634,0.33251833740831294,0.08487600419140762,0.153
1031,Alabama,19789,0.07392996108949416,0.12678760927788166,0.21693870332002627,0.06008388498660872,0.128
1033,Alabama,21799,0.0894536446625992,0.15101610165603926,0.2914812606082848,0.06821413826322309,0.11900000000000001
1035,Alabama,4574,0.10144293834717971,0.21928290336685613,0.3976825535636205,0.09204197638828159,0.17800000000000002
1037,Alabama,4103,0.06214964660004874,0.14842797952717524,0.29612478674140874,0.09164026322203266,0.10300000000000001
1039,Alabama,15008,0.10127931769722814,0.16471215351812366,0.3051039445628998,0.06136727078891258,0.14400000000000002
1041,Alabama,5025,0.09313432835820895,0.19840796019900497,0.34427860696517415,0.09572139303482587,0.187
1043,Alabama,30730,0.08148389196225186,0.14015619915392125,0.27709079075821674,0.06449723397331598,0.12
1045,Alabama,18670,0.09603642206748794,0.16089983931440816,0.2841992501339047,0.09555436529191216,0.192
1047,Alabama,16336,0.1694417238001959,0.2471841332027424,0.4215230166503428,0.1355288932419197,0.31
1049,Alabama,26132,0.10263278738711158,0.17499617327414663,0.3230139292821062,0.06880453084341037,0.19
1051,Alabama,29143,0.06323988607898981,0.103318120989603,0.20196959818824417,0.06210753868853584,0.127
1053,Alabama,13428,0.15169794459338695,0.23480786416443253,0.3807715221924337,0.05309800417039023,0.16899999999999998
1055,Alabama,38777,0.07344559919539934,0.1408824818835908,0.2906619903551074,0.07677231348479768,0.141
1057,Alabama,6947,0.09745213761335829,0.19317691089678998,0.32618396430113716,0.08694400460630489,0.185
1059,Alabama,11210,0.07448706512042819,0.1360392506690455,0.3024085637823372,0.0784121320249777,0.177
1061,Alabama,10479,0.10191812195820212,0.18370073480293922,0.3611985876514935,0.09399751884721824,0.187
1063,Alabama,2955,0.22707275803722504,0.39830795262267343,0.5455160744500847,0.15736040609137056,0.418
1065,Alabama,5658,0.16366207140332273,0.27978084128667374,0.4065040650406504,0.12813715093672676,0.271
1067,Alabama,6669,0.07782276203328835,0.15294646873594242,0.2651072124756335,0.10631279052331684,0.17300000000000001
1069,Alabama,39253,0.08493618322166459,0.1501286525870634,0.2761317606297608,0.07227473059383996,0.147
1071,Alabama,20626,0.10734025016968875,0.19325123630369437,0.31751187821196547,0.06157277222922525,0.127
1073,Alabama,260924,0.08425825144486516,0.14224831751774464,0.2526521132590333,0.07395256856402631,0.147
1075,Alabama,5974,0.08737864077669903,0.2008704385671242,0.33076665550719786,0.07566119852695012,0.17600000000000002
1077,Alabama,38514,0.07259697772238667,0.13244534455003376,0.26200862024198995,0.058498208443682816,0.128
1079,Alabama,12811,0.08157052532979471,0.14581219264694403,0.277339786121302,0.09085941768792444,0.154
1081,Alabama,59373,0.12151988277499874,0.18319774981894127,0.29798056355582503,0.04576154144139592,0.11699999999999999
1083,Alabama,32126,0.06480732117288178,0.11504700242793998,0.23000062254871445,0.05811492249268505,0.114
1085,Alabama,4180,0.15263157894736842,0.2595693779904306,0.4430622009569378,0.18995215311004784,0.32299999999999995
1087,Alabama,7637,0.1882938326568024,0.25088385491685217,0.41181092051852825,0.09401597485923792,0.242
1089,Alabama,145256,0.05815250316682271,0.11295918929338547,0.20101751390648234,0.045822547777716584,0.106
1091,Alabama,7768,0.19528836251287332,0.2653192584963955,0.4174819773429454,0.1448249227600412,0.21
1093,Alabama,12212,0.08450704225352113,0.19251555846708157,0.3591549295774648,0.05904028824107435,0.14800000000000002
1095,Alabama,34896,0.07957932141219624,0.15812700596056856,0.2981430536451169,0.06272925263640532,0.156
1097,Alabama,155831,0.09455756556782668,0.15466755651956285,0.2853026676335261,0.06211857717655665,0.17
1099,Alabama,8149,0.22100871272548778,0.31451711866486687,0.45539329979138543,0.06737022947600933,0.159
1101,Alabama,89835,0.09262536873156342,0.1563087883341682,0.27897812656536985,0.07576111760449714,0.191
1103,Alabama,45646,0.07236121456425536,0.12671427945493582,0.24676861061210184,0.07071813521447662,0.135
